method,origin,train_end,target_index,status,error_message,fit_seconds,predict_seconds,mse_t,mae_t,sarma_branch_actual,sarma_initial_lmbd,sarma_initial_eta,sarma_profile_loss,sarma_profile_candidate_index,sarma_profile_candidate_count,sarma_final_lmbd,sarma_final_eta,sarma_loss,sarma_iter_no,sarma_converged,sarma_theta_diff,sarma_loss_diff
SARMA_LS,42,779,42,ok,,0.6166522920248099,0.0003015840193256736,0.045029139617038555,0.16660163775865675,MLE,[0.85],[],3.2334865638523635,12.0,12.0,[0.8281312235172025],[],3.2323325500067,21.0,True,1.1969540667511325e-06,6.494821432355626e-12
SARMA_MLE,42,779,42,ok,,0.6166522920248099,0.0002625840133987367,0.04340676607167118,0.16727608984433295,LS,[0.85],[],3.2334865638523635,12.0,12.0,[0.7978027412988977],[],4.911793497407429,22.0,True,1.8199709036492706e-06,2.29075354841663e-11
SARMA_LS,43,780,43,ok,,0.5025067499955185,0.0002976669929921627,0.026245160423009367,0.13875108838728198,MLE,[0.85],[],3.228007310032027,12.0,12.0,[0.8205134433241869],[],3.225904289509531,22.0,True,0.0,0.0
SARMA_MLE,43,780,43,ok,,0.5025067499955185,0.0002584999892860651,0.028562946566954822,0.14202189490197367,LS,[0.85],[],3.228007310032027,12.0,12.0,[0.793716857327429],[],4.90734495084153,22.0,True,2.049941265624966e-06,2.8007592553346805e-11
SARMA_LS,44,781,44,ok,,0.503905457968358,0.00030045799212530255,0.301057241591745,0.46385746744859174,MLE,[0.85],[],3.216471625040265,12.0,12.0,[0.8270134013722045],[],3.215188301108188,21.0,True,6.549000577393826e-07,6.8688199472671715e-12
SARMA_MLE,44,781,44,ok,,0.503905457968358,0.00026933400658890605,0.288113244299304,0.45229944648927356,LS,[0.85],[],3.216471625040265,12.0,12.0,[0.7975658430503524],[],4.900514772540805,22.0,True,1.3689380988779476e-06,1.2889012350512613e-11
SARMA_LS,45,782,45,ok,,0.6182817919761874,0.0002972079673781991,0.14469509208309345,0.3010972559503093,MLE,[0.85],[],3.2179585253593332,12.0,12.0,[0.8264052579992611],[],3.216593086854915,21.0,True,7.716880880970223e-07,2.668599178319676e-12
SARMA_MLE,45,782,45,ok,,0.6182817919761874,0.0002631249953992665,0.1423886802248134,0.29576049402647986,LS,[0.85],[],3.2179585253593332,12.0,12.0,[0.7967585250642315],[],4.899751847492013,22.0,True,1.94065094794027e-06,2.590058912504211e-11
SARMA_LS,46,783,46,ok,,0.6202512919553556,0.0003169159754179418,0.14901505583239788,0.30010367142986943,MLE,[0.85],[],3.2161304811754476,12.0,12.0,[0.8261831955129335],[],3.2147308944145148,21.0,True,7.626222383594339e-07,2.6122635523147378e-12
SARMA_MLE,46,783,46,ok,,0.6202512919553556,0.00025741703575477004,0.15870990287483974,0.3042006323170824,LS,[0.85],[],3.2161304811754476,12.0,12.0,[0.7968747555153111],[],4.898828368353808,22.0,True,1.8351474926348033e-06,2.328399398521256e-11
SARMA_LS,47,784,47,ok,,0.5888902089791372,0.00032837502658367157,0.04853387197487355,0.206508580429372,MLE,[0.85],[],3.212053242598061,12.0,12.0,[0.8259547383889554],[],3.210616006745774,21.0,True,1.0017281515395382e-07,2.691686988987593e-13
SARMA_MLE,47,784,47,ok,,0.5888902089791372,0.0002632499672472477,0.04738352108712615,0.2064963695495886,LS,[0.85],[],3.212053242598061,12.0,12.0,[0.7968021334260834],[],4.89803201669192,21.0,True,1.564211247195857e-07,1.6374432558046762e-13
SARMA_LS,48,785,48,ok,,0.6348159170011058,0.0002928749890998006,0.12506457747759414,0.3271093851025037,MLE,[0.85],[],3.212756183349934,12.0,12.0,[0.8250766149608751],[],3.2112088136903543,21.0,True,7.046022376666627e-07,2.2189180357043844e-12
SARMA_MLE,48,785,48,ok,,0.6348159170011058,0.00026166700990870595,0.12875845587634963,0.33505834667491774,LS,[0.85],[],3.212756183349934,12.0,12.0,[0.7966866614266199],[],4.897637619946198,21.0,True,0.0,0.0
SARMA_LS,49,786,49,ok,,0.5888769999728538,0.00030933303060010076,0.0611813015517868,0.16815034472781387,MLE,[0.85],[],3.212211845086265,12.0,12.0,[0.8258005352544995],[],3.210752230175283,21.0,True,9.437841874682107e-08,2.591987361212959e-13
SARMA_MLE,49,786,49,ok,,0.5888769999728538,0.00026041700039058924,0.06520367496327668,0.16874143515611081,LS,[0.85],[],3.212211845086265,12.0,12.0,[0.7972377129723964],[],4.897121481709514,21.0,True,0.0,0.0
SARMA_LS,50,787,50,ok,,0.6334275419940241,0.00030462502036243677,0.06305847527669436,0.20908185803915455,MLE,[0.85],[],3.20951902287615,12.0,12.0,[0.8240058015835198],[],3.2078425606252106,21.0,True,9.602637954797544e-07,4.077292162558435e-12
